event,parameter,station,date,min,max,mean,median,total,station_name
Irma,atemp,jobjbmet,2017-09-05,74.48,90.32,81.9665789473684,81.95,NA,Jobos Bay Weather (JB)
Irma,atemp,jobjbmet,2017-09-06,76.1,85.1,79.36625,78.44,NA,Jobos Bay Weather (JB)
Irma,atemp,jobjbmet,2017-09-07,77,86.72,83.013125,82.85,NA,Jobos Bay Weather (JB)
Irma,atemp,jobjbmet,2017-09-08,75.92,86.36,81.75125,81.68,NA,Jobos Bay Weather (JB)
Irma,atemp,jobjbmet,2017-09-09,75.56,88.34,81.715625,81.77,NA,Jobos Bay Weather (JB)
Irma,atemp,jobjbmet,2017-09-10,74.84,87.8,80.99,80.69,NA,Jobos Bay Weather (JB)
Irma,atemp,jobjbmet,2017-09-11,78.08,82.04,79.9647058823529,80.24,NA,Jobos Bay Weather (JB)
Irma,bp,jobjbmet,2017-09-05,29.7956532010395,29.884242853768,29.8341197607769,29.8251830852823,NA,Jobos Bay Weather (JB)
Irma,bp,jobjbmet,2017-09-06,29.4412945901252,29.8251830852823,29.6861465469722,29.7365934325537,NA,Jobos Bay Weather (JB)
Irma,bp,jobjbmet,2017-09-07,29.4708244743681,29.8547129695252,29.733825005906,29.7956532010395,NA,Jobos Bay Weather (JB)
Irma,bp,jobjbmet,2017-09-08,29.7956532010395,29.884242853768,29.8427164540515,29.8251830852823,NA,Jobos Bay Weather (JB)
Irma,bp,jobjbmet,2017-09-09,29.7661233167966,29.8547129695252,29.8141093786912,29.7956532010395,NA,Jobos Bay Weather (JB)
Irma,bp,jobjbmet,2017-09-10,29.7661233167966,29.884242853768,29.825798291204,29.8251830852823,NA,Jobos Bay Weather (JB)
Irma,bp,jobjbmet,2017-09-11,29.8547129695252,29.9137727380109,29.896402217868,29.9137727380109,NA,Jobos Bay Weather (JB)
Irma,intensprcp,jobjbmet,2017-09-05,0,0.803149606299213,0.0238292581848322,0,NA,Jobos Bay Weather (JB)
Irma,intensprcp,jobjbmet,2017-09-06,0,0.724409448818898,0.0421587926509186,0,NA,Jobos Bay Weather (JB)
Irma,intensprcp,jobjbmet,2017-09-07,0,0.960629921259842,0.0150918635170604,0,NA,Jobos Bay Weather (JB)
Irma,intensprcp,jobjbmet,2017-09-08,0,0.236220472440945,0.00688976377952756,0,NA,Jobos Bay Weather (JB)
Irma,intensprcp,jobjbmet,2017-09-09,0,0,0,0,NA,Jobos Bay Weather (JB)
Irma,intensprcp,jobjbmet,2017-09-10,0,0.047244094488189,0.00147637795275591,0,NA,Jobos Bay Weather (JB)
Irma,intensprcp,jobjbmet,2017-09-11,0,0.834645669291339,0.0824455766558592,0,NA,Jobos Bay Weather (JB)
Irma,maxwspd,jobjbmet,2017-09-05,0.671082555581791,19.6850882970659,4.16188918242392,3.35541277790896,NA,Jobos Bay Weather (JB)
Irma,maxwspd,jobjbmet,2017-09-06,0.894776740775722,25.724831297302,8.22309145363938,8.0529906669815,NA,Jobos Bay Weather (JB)
Irma,maxwspd,jobjbmet,2017-09-07,2.46063603713324,25.724831297302,14.7102228242634,15.4348987783812,NA,Jobos Bay Weather (JB)
Irma,maxwspd,jobjbmet,2017-09-08,1.34216511116358,18.3429231859023,10.0895398113512,10.5136267041147,NA,Jobos Bay Weather (JB)
Irma,maxwspd,jobjbmet,2017-09-09,0,17.6718406303205,6.70849540805548,4.69757788907254,NA,Jobos Bay Weather (JB)
Irma,maxwspd,jobjbmet,2017-09-10,0,12.5268743708601,4.39931897548063,2.68433022232717,NA,Jobos Bay Weather (JB)
Irma,maxwspd,jobjbmet,2017-09-11,0.894776740775722,8.0529906669815,3.25014492605299,3.13171859271503,NA,Jobos Bay Weather (JB)
Irma,rh,jobjbmet,2017-09-05,62,94,80.8815789473684,85.5,NA,Jobos Bay Weather (JB)
Irma,rh,jobjbmet,2017-09-06,71,95,85.84375,87,NA,Jobos Bay Weather (JB)
Irma,rh,jobjbmet,2017-09-07,75,94,82.4270833333333,82,NA,Jobos Bay Weather (JB)
Irma,rh,jobjbmet,2017-09-08,74,93,84.40625,86,NA,Jobos Bay Weather (JB)
Irma,rh,jobjbmet,2017-09-09,62,91,78.40625,79.5,NA,Jobos Bay Weather (JB)
Irma,rh,jobjbmet,2017-09-10,69,90,81.5104166666667,83,NA,Jobos Bay Weather (JB)
Irma,rh,jobjbmet,2017-09-11,83,95,90.8235294117647,91,NA,Jobos Bay Weather (JB)
Irma,sdwdir,jobjbmet,2017-09-05,0,85,26.1578947368421,23,NA,Jobos Bay Weather (JB)
Irma,sdwdir,jobjbmet,2017-09-06,9,92,32.4166666666667,31.5,NA,Jobos Bay Weather (JB)
Irma,sdwdir,jobjbmet,2017-09-07,16,73,28.3958333333333,28,NA,Jobos Bay Weather (JB)
Irma,sdwdir,jobjbmet,2017-09-08,14,67,22.1875,20,NA,Jobos Bay Weather (JB)
Irma,sdwdir,jobjbmet,2017-09-09,0,31,17.8229166666667,18,NA,Jobos Bay Weather (JB)
Irma,sdwdir,jobjbmet,2017-09-10,0,66,18.2916666666667,17,NA,Jobos Bay Weather (JB)
Irma,sdwdir,jobjbmet,2017-09-11,8,63,23.2352941176471,17,NA,Jobos Bay Weather (JB)
Irma,totpar,jobjbmet,2017-09-05,0,1514.8,525.659016393443,526.4,32065.2,Jobos Bay Weather (JB)
Irma,totpar,jobjbmet,2017-09-06,0,728.6,86.990625,3.6,8351.1,Jobos Bay Weather (JB)
Irma,totpar,jobjbmet,2017-09-07,0,1226.6,278.43125,6.8,26729.4,Jobos Bay Weather (JB)
Irma,totpar,jobjbmet,2017-09-08,0,1604.6,325.422222222222,63.05,29288,Jobos Bay Weather (JB)
Irma,totpar,jobjbmet,2017-09-09,0,1605.7,509.885882352941,102,43340.3,Jobos Bay Weather (JB)
Irma,totpar,jobjbmet,2017-09-10,0,1596,400.907058823529,106.9,34077.1,Jobos Bay Weather (JB)
Irma,totpar,jobjbmet,2017-09-11,0,0,0,0,0,Jobos Bay Weather (JB)
Irma,totprcp,jobjbmet,2017-09-05,0,0.200787401574803,0.00595731454620804,0,0.452755905511811,Jobos Bay Weather (JB)
Irma,totprcp,jobjbmet,2017-09-06,0,0.181102362204724,0.0105396981627297,0,1.01181102362205,Jobos Bay Weather (JB)
Irma,totprcp,jobjbmet,2017-09-07,0,0.240157480314961,0.00377296587926509,0,0.362204724409449,Jobos Bay Weather (JB)
Irma,totprcp,jobjbmet,2017-09-08,0,0.0590551181102362,0.00172244094488189,0,0.165354330708661,Jobos Bay Weather (JB)
Irma,totprcp,jobjbmet,2017-09-09,0,0,0,0,0,Jobos Bay Weather (JB)
Irma,totprcp,jobjbmet,2017-09-10,0,0.0118110236220472,0.000369094488188976,0,0.0354330708661417,Jobos Bay Weather (JB)
Irma,totprcp,jobjbmet,2017-09-11,0,0.208661417322835,0.0206113941639648,0,0.350393700787402,Jobos Bay Weather (JB)
Irma,wdir,jobjbmet,2017-09-05,13,352,214.092105263158,270.5,NA,Jobos Bay Weather (JB)
Irma,wdir,jobjbmet,2017-09-06,1,359,273.552083333333,287,NA,Jobos Bay Weather (JB)
Irma,wdir,jobjbmet,2017-09-07,11,350,176.072916666667,174.5,NA,Jobos Bay Weather (JB)
Irma,wdir,jobjbmet,2017-09-08,4,351,94.0729166666667,94,NA,Jobos Bay Weather (JB)
Irma,wdir,jobjbmet,2017-09-09,0,359,138.354166666667,90.5,NA,Jobos Bay Weather (JB)
Irma,wdir,jobjbmet,2017-09-10,0,360,222.229166666667,181.5,NA,Jobos Bay Weather (JB)
Irma,wdir,jobjbmet,2017-09-11,3,355,277.941176470588,344,NA,Jobos Bay Weather (JB)
Irma,wspd,jobjbmet,2017-09-05,0,4.92127207426647,1.35099514478966,0.671082555581791,NA,Jobos Bay Weather (JB)
Irma,wspd,jobjbmet,2017-09-06,0,8.94776740775722,2.60976549392919,2.2369418519393,NA,Jobos Bay Weather (JB)
Irma,wspd,jobjbmet,2017-09-07,0.671082555581791,11.1847092596965,6.65024171399456,6.71082555581791,NA,Jobos Bay Weather (JB)
Irma,wspd,jobjbmet,2017-09-08,0.22369418519393,9.17146159295115,4.81408527719438,4.58573079647557,NA,Jobos Bay Weather (JB)
Irma,wspd,jobjbmet,2017-09-09,0,10.7373208893087,3.23424509426224,2.79617731492413,NA,Jobos Bay Weather (JB)
Irma,wspd,jobjbmet,2017-09-10,0,5.81604881504219,1.69634757105397,0.671082555581791,NA,Jobos Bay Weather (JB)
Irma,wspd,jobjbmet,2017-09-11,0.22369418519393,2.68433022232717,1.10531244448766,1.11847092596965,NA,Jobos Bay Weather (JB)
