event,reserve_code,station,station_name,parameter,min,max,mean,median
Irma,job,job09wq,Station 9 (09),cdepth,2.132546,3.3136484,2.52813628900524,2.4934384
Irma,job,job10wq,Station 10 (10),cdepth,1.968504,3.1496064,2.4412197947644,2.3950132
Irma,job,job19wq,Station 19 (19),cdepth,2.3622048,3.5433072,2.75275645165794,2.6902888
Irma,job,job20wq,Station 20 (20),cdepth,2.6574804,3.8057744,3.05412102078853,3.0183728
Irma,job,job09wq,Station 9 (09),depth,2.0669292,2.9855644,2.39180679441536,2.3622048
Irma,job,job10wq,Station 10 (10),depth,1.8700788,2.8871392,2.30489030017452,2.2637796
Irma,job,job19wq,Station 19 (19),depth,2.3293964,3.2152232,2.61642695706806,2.5918636
Irma,job,job20wq,Station 20 (20),depth,2.5262468,3.4120736,2.92406334910394,2.8871392
Irma,job,job09wq,Station 9 (09),do_mgl,0.5,7.2,3.23123909249564,3.1
Irma,job,job10wq,Station 10 (10),do_mgl,1.9,6.5,4.03525305410122,4
Irma,job,job19wq,Station 19 (19),do_mgl,4.5,8.7,6.09703315881326,5.9
Irma,job,job20wq,Station 20 (20),do_mgl,4.4,8.4,6.02598566308244,5.8
Irma,job,job09wq,Station 9 (09),do_pct,8.1,116.8,51.4757417102967,49.2
Irma,job,job10wq,Station 10 (10),do_pct,30.8,104.8,64.0659685863874,62.7
Irma,job,job19wq,Station 19 (19),do_pct,70.5,142,97.0157068062827,94.2
Irma,job,job20wq,Station 20 (20),do_pct,70.6,136.2,95.8164874551971,91.8
Irma,job,job09wq,Station 9 (09),ph,6.9,7.9,7.40628272251309,7.4
Irma,job,job10wq,Station 10 (10),ph,7.6,8,7.77434554973822,7.8
Irma,job,job19wq,Station 19 (19),ph,7.8,8.2,7.99616055846422,8
Irma,job,job20wq,Station 20 (20),ph,7.9,8.1,7.97132616487455,8
Irma,job,job09wq,Station 9 (09),sal,32,35,33.3755671902269,33.3
Irma,job,job10wq,Station 10 (10),sal,33,34.5,33.8879581151832,34
Irma,job,job19wq,Station 19 (19),sal,32.4,34.2,33.6233856893543,33.8
Irma,job,job20wq,Station 20 (20),sal,32.9,34.4,33.8847670250896,33.9
Irma,job,job09wq,Station 9 (09),spcond,49.06,53.28,51.0461954624782,51.03
Irma,job,job10wq,Station 10 (10),spcond,50.5,52.7,51.7440139616056,51.84
Irma,job,job19wq,Station 19 (19),spcond,49.72,52.11,51.3944851657941,51.7
Irma,job,job20wq,Station 20 (20),spcond,50.37,52.37,51.7469534050179,51.78
Irma,job,job09wq,Station 9 (09),temp,80.24,90.14,85.6792670157068,85.28
Irma,job,job10wq,Station 10 (10),temp,82.4,89.96,85.7175916230367,85.28
Irma,job,job19wq,Station 19 (19),temp,83.66,89.24,86.0650261780105,85.82
Irma,job,job20wq,Station 20 (20),temp,83.48,88.88,85.7587096774193,85.64
Irma,job,job09wq,Station 9 (09),turb,0,66,4.65559440559441,3
Irma,job,job10wq,Station 10 (10),turb,0,1,0.012216404886562,0
Irma,job,job19wq,Station 19 (19),turb,0,8,1.49738219895288,1
Irma,job,job20wq,Station 20 (20),turb,1,99,5.01636363636364,2
